epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.60239,1.42523,3.11611,1.16097,0.70633,0.79266,0.83809,0.58919,1.11803,2.52678,1.0894,0.0002125,0.0002125,0.0002125
2,8.6969,1.26226,1.36004,1.08294,0.86659,0.81136,0.91293,0.62709,1.13404,1.27392,1.03122,0.000433162,0.000433162,0.000433162
3,12.77,1.1992,1.08358,1.07389,0.7287,0.71846,0.84662,0.61039,1.08768,2.18231,0.97654,0.000649363,0.000649363,0.000649363
4,16.7465,1.16401,1.05084,1.04203,0.65559,0.64577,0.70791,0.47934,1.2363,1.407,0.99868,0.000861102,0.000861102,0.000861102
5,20.7143,1.18012,0.9084,1.03476,0.82522,0.80955,0.90292,0.6375,1.17911,1.06416,1.01254,0.00106838,0.00106838,0.00106838
6,24.6923,1.19464,0.93189,1.05615,0.79558,0.73015,0.86232,0.57383,1.24712,1.06752,1.04259,0.00118803,0.00118803,0.00118803
7,28.6587,1.15431,0.78832,1.04295,0.66623,0.62016,0.75362,0.51969,1.22627,1.51516,1.0564,0.00117564,0.00117564,0.00117564
8,32.5955,1.16767,0.92531,1.05221,0.76087,0.79923,0.87938,0.60891,1.15545,1.17042,1.01829,0.00116325,0.00116325,0.00116325
9,36.4971,1.12869,0.83115,1.03987,0.72772,0.7623,0.82524,0.56456,1.18082,1.12667,1.01986,0.00115085,0.00115085,0.00115085
10,40.459,1.12616,0.79083,1.01629,0.90568,0.77599,0.84417,0.61815,1.16309,1.14637,1.06609,0.00113846,0.00113846,0.00113846
11,44.3939,1.12869,0.73912,1.00858,0.8643,0.68196,0.80457,0.56607,1.17191,1.26302,1.02986,0.00112607,0.00112607,0.00112607
12,48.3816,1.11125,0.6996,1.01014,0.93897,0.9063,0.97624,0.6909,1.10933,0.63154,1.00331,0.00111367,0.00111367,0.00111367
13,52.3891,1.08451,0.66483,1.01273,0.90979,0.87966,0.94806,0.66225,1.18032,0.80798,1.02602,0.00110128,0.00110128,0.00110128
14,56.3599,1.08315,0.68219,1.01614,0.90251,0.83356,0.88593,0.6429,1.16197,0.91215,1.04112,0.00108888,0.00108888,0.00108888
15,60.3102,1.09636,0.64715,1.01992,0.89464,0.85351,0.92982,0.67053,1.16932,0.8196,1.02439,0.00107649,0.00107649,0.00107649
16,64.2459,1.08259,0.66436,1.01816,0.87596,0.88917,0.90666,0.6444,1.18354,0.83622,1.04119,0.0010641,0.0010641,0.0010641
17,68.2314,1.06042,0.79717,1.01229,0.95569,0.75108,0.86258,0.61106,1.22263,1.01928,1.06318,0.0010517,0.0010517,0.0010517
18,72.1698,1.07584,0.64933,0.99926,0.80904,0.76511,0.76802,0.5468,1.24329,1.26672,1.0925,0.00103931,0.00103931,0.00103931
19,76.1173,1.10018,0.63598,1.02291,0.86273,0.76704,0.87641,0.62613,1.213,1.02188,1.04643,0.00102692,0.00102692,0.00102692
20,80.1059,1.06685,0.62891,1.02046,0.93052,0.77537,0.90309,0.65571,1.15138,0.95949,1.0385,0.00101452,0.00101452,0.00101452
21,84.0356,1.04671,0.63104,1.00155,0.91246,0.83226,0.9388,0.68167,1.09682,0.7765,1.00274,0.00100213,0.00100213,0.00100213
22,88.0025,1.05043,0.63035,0.99424,0.9223,0.72331,0.79411,0.5803,1.23197,1.19522,1.08019,0.000989737,0.000989737,0.000989737
