fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste
0.73717,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0
0.70928,0.01,0.01023,0.937,0.00055,3.0,0.82709,6.88071,0.52053,1.52562,0.01557,0.69992,0.3792,0.0,0.1,0.55573,0.0,0.0,0.0,0.58935,0.0,0.87528,0.0,0.0,0.0
0.73981,0.00968,0.00852,0.92295,0.00048,2.95379,0.87169,8.4315,0.49723,1.5427,0.01705,0.7255,0.35868,0.0,0.1,0.5,0.0,0.0,0.0,0.56478,0.0,1.0,0.0,0.0,0.0
0.7203,0.01133,0.0084,0.966,0.00033,2.07854,0.5909,9.33237,0.5447,1.5427,0.02101,0.53364,0.37744,0.0,0.10723,0.39504,0.0,0.0,0.0,0.77117,0.0,1.0,0.0,0.0,0.0
0.72023,0.00915,0.01018,0.93868,0.0005,2.91256,0.77616,7.60383,0.4638,1.51648,0.01816,0.7,0.43565,0.0,0.07564,0.5,0.0,0.0,0.0,0.5242,0.0,0.92955,0.0,0.0,0.0
0.72649,0.00953,0.01024,0.937,0.0005,2.98638,0.75179,7.5,0.49942,1.53063,0.015,0.70572,0.4,0.0,0.09958,0.4987,0.0,0.0,0.0,0.50295,0.0,0.98635,0.0,0.0,0.0
0.72377,0.01118,0.00657,0.90537,0.00054,3.46484,0.8,7.22806,0.5,1.57292,0.01515,0.66414,0.37049,0.0,0.09242,0.52507,0.0,0.0,0.0,0.5,0.0,0.98511,0.0,0.0,0.0
0.71096,0.0118,0.00713,0.92071,0.00043,3.467,0.7333,4.99749,0.58367,1.57292,0.01487,0.6319,0.43562,0.0,0.09481,0.52603,0.0,0.0,0.0,0.5,0.0,0.91063,0.0,0.0,0.0
0.71626,0.00922,0.01032,0.94572,0.00049,2.95815,0.75179,7.54049,0.5479,1.52395,0.0145,0.70456,0.38494,0.0,0.10184,0.4987,0.0,0.0,0.0,0.50849,0.0,1.0,0.0,0.0,0.0
0.70145,0.01072,0.00947,0.96281,0.0005,2.98638,0.71973,7.37421,0.50293,1.53063,0.01345,0.5687,0.38462,0.0,0.10356,0.43481,0.0,0.0,0.0,0.49007,0.0,1.0,0.0,0.0,0.0
