epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.66103,1.2603,3.13085,1.12308,0.61659,0.86293,0.86163,0.6051,0.94442,2.05593,1.02278,0.0002125,0.0002125,0.0002125
2,8.67998,1.10754,1.37702,1.03853,0.85447,0.85588,0.93303,0.67086,0.97907,1.25076,0.96163,0.000420175,0.000420175,0.000420175
3,12.7189,1.0562,1.06788,1.025,0.94614,0.9797,0.98484,0.70966,1.00061,0.75387,0.93946,0.00061003,0.00061003,0.00061003
4,16.627,1.03614,0.99787,1.00371,0.92993,0.7932,0.91999,0.64364,0.99848,0.82502,0.9386,0.000782065,0.000782065,0.000782065
5,20.4359,1.05966,0.89404,0.99186,0.92428,0.80172,0.88006,0.60237,1.07618,0.88631,0.97904,0.00093628,0.00093628,0.00093628
6,24.2388,1.02978,0.86215,0.99247,0.78052,0.7608,0.91666,0.63609,1.04789,0.95295,0.98112,0.0010025,0.0010025,0.0010025
7,28.0921,1.01433,0.76618,0.99657,0.87791,0.8459,0.89825,0.62999,1.05807,0.93617,1.01418,0.000953,0.000953,0.000953
8,31.8684,1.04416,0.81656,1.01362,0.83383,0.7766,0.87489,0.61779,1.03341,1.07938,0.98561,0.0009035,0.0009035,0.0009035
9,35.5704,1.00658,0.7822,0.99766,0.79956,0.70632,0.75922,0.50808,1.10648,1.39347,1.02363,0.000854,0.000854,0.000854
10,39.2998,0.99467,0.75078,0.98425,0.84447,0.7427,0.81003,0.55794,1.0797,1.16469,1.03966,0.0008045,0.0008045,0.0008045
11,43.0091,0.98347,0.69347,0.97289,0.91203,0.75215,0.85323,0.60657,1.00916,1.0124,0.99575,0.000755,0.000755,0.000755
12,46.7736,0.97646,0.65256,0.96245,0.9322,0.78256,0.87895,0.63458,1.01149,0.93736,0.98986,0.0007055,0.0007055,0.0007055
13,50.4723,0.94035,0.63507,0.96099,0.82935,0.77433,0.89508,0.64021,0.99484,0.89833,0.96837,0.000656,0.000656,0.000656
14,54.1964,0.93733,0.63193,0.96529,0.94968,0.83666,0.90168,0.64785,0.9982,0.92896,0.99223,0.0006065,0.0006065,0.0006065
15,58.2539,0.92813,0.59741,0.96408,0.95082,0.79858,0.89485,0.65253,1.01774,0.93412,0.9845,0.000557,0.000557,0.000557
16,79.3738,0.8507,1.31409,0.89459,0.9463,0.81443,0.90643,0.65536,1.00614,0.91112,0.98525,0.0005075,0.0005075,0.0005075
17,83.2852,0.82488,1.03478,0.88933,0.93685,0.83884,0.90579,0.66705,0.98296,0.88532,0.97932,0.000458,0.000458,0.000458
18,87.2193,0.80986,0.74519,0.88978,0.93777,0.7918,0.88055,0.65519,1.02962,0.99413,0.99172,0.0004085,0.0004085,0.0004085
19,91.0272,0.83482,0.56471,0.93468,0.83373,0.818,0.86792,0.63746,0.97811,0.98263,0.95448,0.000359,0.000359,0.000359
20,94.8297,0.85467,0.54463,0.92665,0.93678,0.75641,0.877,0.6554,0.9652,0.95015,0.94795,0.0003095,0.0003095,0.0003095
21,98.4902,0.82793,0.47227,0.92074,0.95659,0.74647,0.86909,0.64253,0.99227,1.0493,0.96197,0.00026,0.00026,0.00026
22,102.199,0.83768,0.53499,0.94143,0.9114,0.78056,0.86945,0.64643,0.96382,1.03549,0.94518,0.0002105,0.0002105,0.0002105
23,105.926,0.83703,0.45674,0.92984,0.94791,0.73622,0.87342,0.65309,0.96151,1.08822,0.9481,0.000161,0.000161,0.000161
24,109.752,0.80908,0.45641,0.89971,0.93092,0.72466,0.84961,0.63176,0.99134,1.20019,0.96479,0.0001115,0.0001115,0.0001115
25,113.882,0.78051,0.43714,0.9089,0.96522,0.71975,0.86387,0.64336,0.98996,1.1613,0.96462,6.2e-05,6.2e-05,6.2e-05
