epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.5232,1.42994,2.856,1.24439,0.75298,0.72224,0.84061,0.58622,1.14398,1.78919,1.11841,0.0002125,0.0002125,0.0002125
2,8.56885,1.18813,1.23872,1.10162,0.77039,0.88936,0.92882,0.65396,1.14896,1.12611,1.07982,0.000420164,0.000420164,0.000420164
3,12.6084,1.21998,1.05483,1.13406,0.57377,0.79385,0.75328,0.50524,1.21473,1.17736,1.05977,0.000609996,0.000609996,0.000609996
4,16.5104,1.1958,0.94971,1.11634,0.76859,0.84318,0.91081,0.60964,1.24981,0.98039,1.12797,0.000781997,0.000781997,0.000781997
5,20.4095,1.19515,0.93931,1.15468,0.91803,0.85289,0.94015,0.62922,1.25646,0.80928,1.11495,0.000936166,0.000936166,0.000936166
6,24.2857,1.18523,0.86941,1.15461,0.84417,0.83213,0.9343,0.63451,1.26451,0.89439,1.16965,0.00100234,0.00100234,0.00100234
7,28.1777,1.1706,0.81559,1.10987,0.88381,0.77874,0.88938,0.60748,1.23002,0.8782,1.1647,0.000952808,0.000952808,0.000952808
8,32.1106,1.14172,0.73817,1.11743,0.83738,0.88478,0.93823,0.6572,1.18374,0.75014,1.12008,0.000903276,0.000903276,0.000903276
9,36.0396,1.10617,0.70624,1.13829,0.92854,0.79269,0.91635,0.63449,1.20023,0.97042,1.19573,0.000853744,0.000853744,0.000853744
10,39.9338,1.13106,0.69825,1.12629,0.8623,0.7154,0.81097,0.57005,1.20094,1.23137,1.13533,0.000804212,0.000804212,0.000804212
11,43.8758,1.12094,0.77007,1.11214,0.9241,0.77805,0.87464,0.6154,1.16075,1.05743,1.14881,0.00075468,0.00075468,0.00075468
12,47.7674,1.07389,0.68838,1.131,0.85072,0.86202,0.93386,0.66599,1.15051,0.84021,1.13939,0.000705148,0.000705148,0.000705148
13,51.7192,1.11377,0.63844,1.135,0.70163,0.78853,0.83595,0.57363,1.2056,1.08725,1.17807,0.000655616,0.000655616,0.000655616
14,55.6274,1.08018,0.62727,1.11796,0.91656,0.80773,0.93376,0.67462,1.11003,0.81274,1.15057,0.000606084,0.000606084,0.000606084
15,59.6069,1.06843,0.61404,1.12224,0.89072,0.79742,0.91589,0.66082,1.12249,0.85697,1.15289,0.000556552,0.000556552,0.000556552
16,80.528,0.97039,1.02378,1.03023,0.79632,0.78856,0.86074,0.63264,1.08661,0.95919,1.11314,0.00050702,0.00050702,0.00050702
17,84.3481,0.93003,0.95102,1.0135,0.84494,0.80901,0.89144,0.65765,1.06554,0.86728,1.09489,0.000457488,0.000457488,0.000457488
18,88.2507,0.92803,0.89776,1.02219,0.9035,0.73712,0.8804,0.65151,1.08496,1.00514,1.12382,0.000407956,0.000407956,0.000407956
19,92.1034,0.96038,0.55746,1.05463,0.92094,0.77564,0.88852,0.65196,1.08592,0.99237,1.12684,0.000358424,0.000358424,0.000358424
20,95.9825,0.94378,0.49016,1.05824,0.93939,0.75015,0.85719,0.62365,1.1358,1.04793,1.13637,0.000308892,0.000308892,0.000308892
21,99.8137,0.94797,0.48178,1.04755,0.92132,0.76675,0.86198,0.63116,1.08094,1.04742,1.12295,0.00025936,0.00025936,0.00025936
22,103.693,0.93414,0.47512,1.06353,0.88247,0.79177,0.85956,0.63567,1.08053,1.09501,1.11183,0.000209828,0.000209828,0.000209828
23,107.543,0.9534,0.46464,1.08212,0.89458,0.79178,0.86272,0.63776,1.0796,1.11472,1.12059,0.000160296,0.000160296,0.000160296
24,111.445,0.90054,0.44426,1.03351,0.91,0.76904,0.8783,0.64272,1.08138,1.05303,1.11088,0.000110764,0.000110764,0.000110764
25,115.303,0.87701,0.43466,1.03601,0.90501,0.76934,0.88185,0.65539,1.06863,1.03789,1.10237,6.1232e-05,6.1232e-05,6.1232e-05
